step,layer_idx,phase,t_ns,allocated_gb,reserved_gb,max_allocated_gb
0,0,fwd_pre,10204180003937817,5.518654464,6.006243328,5.813240832
0,0,fwd_post,10204181638506938,5.707707392,8.665432064,7.12560128
0,1,fwd_pre,10204181639005291,5.665805312,8.665432064,7.12560128
0,1,fwd_post,10204181682984715,5.707707392,8.994684928,7.1256832
0,2,fwd_pre,10204181683389367,5.665723392,8.994684928,7.1256832
0,2,fwd_post,10204181723006662,5.707625472,8.994684928,7.1256832
0,3,fwd_pre,10204181723388453,5.665723392,8.994684928,7.1256832
0,3,fwd_post,10204181766010217,5.707625472,8.994684928,7.1256832
0,4,fwd_pre,10204181766380873,5.665723392,8.994684928,7.1256832
0,4,fwd_post,10204181805478173,5.707625472,8.994684928,7.1256832
0,5,fwd_pre,10204181805837143,5.665723392,8.994684928,7.1256832
0,5,fwd_post,10204181844779220,5.707625472,8.994684928,7.1256832
0,6,fwd_pre,10204181845147990,5.665723392,8.994684928,7.1256832
0,6,fwd_post,10204181892674340,5.707625472,8.994684928,7.1256832
0,7,fwd_pre,10204181893058206,5.665723392,8.994684928,7.1256832
0,7,fwd_post,10204181931601847,5.707625472,8.994684928,7.1256832
0,8,fwd_pre,10204181931949038,5.665723392,8.994684928,7.1256832
0,8,fwd_post,10204181970140808,5.707625472,8.994684928,7.1256832
0,9,fwd_pre,10204181970483166,5.665723392,8.994684928,7.1256832
0,9,fwd_post,10204182008824967,5.707625472,8.994684928,7.1256832
0,10,fwd_pre,10204182009257357,5.665723392,8.994684928,7.1256832
0,10,fwd_post,10204182047558322,5.707625472,8.994684928,7.1256832
0,11,fwd_pre,10204182047932606,5.665723392,8.994684928,7.1256832
0,11,fwd_post,10204182086317049,5.707625472,8.994684928,7.1256832
0,12,fwd_pre,10204182086679901,5.665723392,8.994684928,7.1256832
0,12,fwd_post,10204182125606189,5.707625472,8.994684928,7.1256832
0,13,fwd_pre,10204182125963192,5.665723392,8.994684928,7.1256832
0,13,fwd_post,10204182165523195,5.707625472,8.994684928,7.1256832
0,14,fwd_pre,10204182165879915,5.665723392,8.994684928,7.1256832
0,14,fwd_post,10204182203910675,5.707625472,8.994684928,7.1256832
0,15,fwd_pre,10204182204262785,5.665723392,8.994684928,7.1256832
0,15,fwd_post,10204182242665948,5.707625472,8.994684928,7.1256832
0,16,fwd_pre,10204182262232995,5.665723392,8.994684928,5.707625472
0,16,fwd_post,10204182298593135,5.707625472,8.994684928,7.12556032
0,17,fwd_pre,10204182298933040,5.665723392,8.994684928,7.12556032
0,17,fwd_post,10204182337528379,5.707625472,8.994684928,7.12560128
0,18,fwd_pre,10204182337858455,5.665723392,8.994684928,7.12560128
0,18,fwd_post,10204182376934012,5.707625472,8.994684928,7.12560128
0,19,fwd_pre,10204182377275743,5.665723392,8.994684928,7.12560128
0,19,fwd_post,10204182415270338,5.707625472,8.994684928,7.12560128
0,20,fwd_pre,10204182415608608,5.665723392,8.994684928,7.12560128
0,20,fwd_post,10204182453620517,5.707625472,8.994684928,7.12560128
0,21,fwd_pre,10204182453945738,5.665723392,8.994684928,7.12560128
0,21,fwd_post,10204182492035678,5.707625472,8.994684928,7.12560128
0,22,fwd_pre,10204182492368582,5.665723392,8.994684928,7.12560128
0,22,fwd_post,10204182530548321,5.707625472,8.994684928,7.12560128
0,23,fwd_pre,10204182530883899,5.665723392,8.994684928,7.12560128
0,23,fwd_post,10204182568765283,5.707625472,8.994684928,7.12560128
0,24,fwd_pre,10204182569087180,5.665723392,8.994684928,7.12560128
0,24,fwd_post,10204182606937864,5.707625472,8.994684928,7.12560128
0,25,fwd_pre,10204182607279197,5.665723392,8.994684928,7.12560128
0,25,fwd_post,10204182645388006,5.707625472,8.994684928,7.12560128
0,26,fwd_pre,10204182645706392,5.665723392,8.994684928,7.12560128
0,26,fwd_post,10204182683999061,5.707625472,8.994684928,7.12560128
0,27,fwd_pre,10204182684324612,5.665723392,8.994684928,7.12560128
0,27,fwd_post,10204182722188789,5.707625472,8.994684928,7.12560128
0,28,fwd_pre,10204182722512944,5.665723392,8.994684928,7.12560128
